2,34,,QUITA MANCHAS
2,40,,JABON EN POLVO PREMIUM Y LIQ.
2,41,,JABONES EN POLVO INTERMEDIOS
2,42,,JABONES EN POLVO ECONOMICOS
2,43,,DETERGENTES ULTRA
2,44,,DETERGENTES REGULARES
2,45,,LIMPIADORES CON DESODORANTE
2,46,,LIMPIADORES MULTISUPERFICIES
2,47,,LIMPIADORES ESPECIFICOS
2,49,,INSUMOS ELABORACION PANADERIA
2,50,,INSUMOS PUESTOS GENERALES
2,51,,INSUMOS DE LIMPIEZA
2,52,,PAPEL HIGIENICO
2,53,,ROLLOS DE COCINA
2,54,,SERVILLETAS DESCARTABLES
2,55,,INSUMOS CAMARAS DEPOSITO
2,56,,INSUMOS BAND/BOLSAS PANADERIA
2,57,,INSUMOS ESPECIFICOS CARNICERIA
2,58,,INSUMOS BAND/BOLSAS ROTISERIA
2,59,,INSUMOS BAND/BOLSAS FIAMBRERIA
3,0,,BEBIDAS
3,1,,APERITIVOS CON ALCOHOL
3,2,,VINOS 1 LITRO
3,3,,VINOS 3/4 LITRO
3,4,,CERVEZAS
3,5,,GASEOSAS
3,6,,JUGOS LISTOS
3,7,,SIDRAS Y ANANA FIZZ
3,8,,WHISKY
3,9,,CHAMPAGNE
3,10,,BEBIDAS BLANCAS
3,11,,LICORES
3,12,,SODAS
3,13,,AGUA MINERAL
3,14,,VINOS DAMAJUANA
3,15,,JUGOS CONCENTRADOS
3,16,,JUGOS EN POLVO
3,17,,AGUAS SABORIZADAS
3,18,,BEBIDAS ENERGIZANTES
3,19,,BEBIDAS ISOTONICAS
3,20,,FERNET
3,21,,VINOS FINOS ECONOMICOS TINTO
3,22,,VINOS FINOS ECONOMICOS BLANCO
3,23,,VINOS FINOS INTERMEDIOS TINTO
3,24,,VINOS FINOS INTERMEDIOS BLANCO
3,25,,VINOS ALTA GAMA TINTO
3,26,,VINOS ALTA GAMA BLANCO
3,27,,VINOS COMUNES 3/4 TINTO
3,28,,VINOS COMUNES 3/4 BLANCOS
3,29,,VINOS 3/8 BOTELLA CHICA
3,30,,VINOS FRIZANTES Y BAJO GRADO
3,31,,JUGOS DE LIMON
3,32,,APERITIVOS SIN ALCOHOL
4,0,,JUGETERIA
4,1,,JUEGOS DE MESA
4,2,,PRIMERA INFANCIA
4,3,,MUNECAS Y BEBOTES
4,4,,JUEGOS DE NENA
4,5,,JUEGOS DE VARON
4,6,,PELOTAS / FUTBOL
4,7,,ARMAS / PISTOLAS
4,8,,MAQUILLAJES / PINTURITAS
4,9,,JUEGUETES DE PLAYA
4,10,,LIBROS / CUENTOS
4,11,,JUEGUETES SALDOS
5,0,,PERFUMERIA
5,1,,SHAMPOO ECONOMICO
5,2,,ENJUAGUE ECONOMICO
5,3,,ALGODONES
5,4,,PAآ¥AL ADULTO
5,5,,PROTECTORES DIARIOS
5,6,,JABON TOCADOR COMUNES
5,7,,DESOD.PERS.AEROSOL UNISEX/MASC
5,8,,DESOD.PERS.ROLLON UNISEX/MASC
5,9,,GUANTES DE GOMA
5,10,,ALCOHOL PURO
5,11,,TALCOS Y FECULAS
5,12,,QUITA ESMALTES
5,13,,CREMAS PARA MANOS Y CUERPO
5,14,,LOCIONES COLONIAS Y ACEITES
5,15,,FIJADORES Y GEL
5,16,,CREMAS DENTALES
5,17,,CREMAS Y ESPUMAS DE AFEITAR
5,18,,REPUESTOS MAQUINAS DE AFEITAR
5,19,,CEPILLOS P/ MANOS CUERPO DENT
5,20,,CREMAS PARA PELO
5,21,,PEGAMENTOS Y AFINES
5,22,,PANUELOS DESCARTABLES
5,23,,BRONCEADORES Y SAPOLAN
5,24,,MEDICAMENTOS
5,25,,CERAS DEPILATORIAS
5,26,,COSMETICOS
5,27,,COLORACIONES
5,28,,PILAS
5,29,,TOALLAS FEMENINAS
5,30,,SHAMPOO INTERMEDIO
5,31,,ENJUAGUE INTERMEDIO
5,32,,SHAMPOO ESPECIFICO Y ANTICASPA
5,33,,ENJUAGUE ESPEICIFICO/ANTICASPA
5,35,,DESOD.PERS.AEROSOL FEMENINO
5,36,,DESOD.PERS.ROLLON FEMENINO
5,40,,PAآ¥AL BAJO PRECIO
5,41,,PAآ¥AL PRESENTACION SIMPLE
5,42,,PAآ¥AL PRESENTACION MEGA
5,45,,JABON TOCADOR INTERMEDIO
5,46,,JABON TOCADOR ESPECIFICO
5,47,,JABON TOCADOR LIQUIDO
6,0,,BAZAR
6,1,,PLASTICOS COCINA
6,2,,PLASTICOS LIMPIEZA
6,3,,CERAMICA Y LOZA
6,4,,PLATOS DE VIDRIO Y VARIOS
6,5,,VASOS Y COPAS DE VIDRIO
6,6,,ENLOZADOS
6,7,,ALUMINIO
6,8,,CROMADOS
6,9,,ACEROS
6,10,,FLORES
6,11,,MIMBRE Y SUNCHOS
6,12,,MADERA
6,13,,CUBIERTOS
6,14,,REGALERIA
6,15,,TELAS
6,17,,HOJALATA
6,18,,JUGUETERIA
6,20,,"ROLLOS, BOLSAS HORNO Y FREEZER"
6,21,,ROPA Y CALZADO
6,22,,ARTICULOS ELECTRICOS
6,23,,ARTICULOS DE COTILLON
6,24,,ARTICULOS FOTOGRAFICOS
6,25,,ARTICULOS NAVIDENOS
6,26,,HERRAMIENTAS
6,27,,SAHUMERIOS
6,28,,CERAS DEPILAT.JABONES.LOCIONES
6,29,,CEPILLOS PEINES Y OTROS
6,30,,PEGAMENTOS Y AFINES
6,32,,ARTICULOS DE JARDINERIA
6,33,,JUGUETES SALDO
6,34,,BAZAR SALDOS
6,35,,BICICLETAS
6,36,,ARTI NAVIDAD SALDOS
6,40,,COLCHONES Y ALMOHADAS
7,0,,LIBRERIA
7,1,,CUADERNO CARPETAS LIBROS
7,2,,PEGAMENTOS Y AFINES
7,3,,REPUESTOS BLOCKS ANOTADORES
7,4,,LAPICES BIROMES FIBRAS
7,5,,LAPICERAS FUENTE
7,6,,GOMAS SACAPUNTAS
7,7,,REGLAS ESCUADRAS SEMICIRCULOS
7,8,,SEPARADORES CARATULAS ETIQUETA
7,20,,CARTUCHERAS MOCHILAS BOLSOS
8,0,,FRESCOS AL CORTE
8,1,,QUESOS EN HORMA
8,2,,FIAMBRE EN HORMA
8,3,,MARGARINAS
